#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2018-09-18 04:19:46
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2018-09-18 04:19:46 W3SVC1536 JASMINE 143.95.251.7 GET /wp-content/plugins/complete-gallery-manager/frames/upload-images.php - 80 - 216.244.65.2 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/42.0.2311.152+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/wp-content/plugins/complete-gallery-manager/frames/upload-images.php lighthallbadminton.co.uk.jasmine.arvixe.com 404 0 2 1424 547 625
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2018-09-18 10:58:35
2018-09-18 19:34:05 W3SVC1536 JASMINE 143.95.251.7 GET /robots.txt - 80 - 40.77.167.173 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - lighthallbadminton.co.uk.jasmine.arvixe.com 404 0 2 1405 276 31
2018-09-18 19:34:20 W3SVC1536 JASMINE 143.95.251.7 GET /style.css - 80 - 207.46.13.126 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 754 275 93
2018-09-18 19:34:23 W3SVC1536 JASMINE 143.95.251.7 GET /Images/badminton_photo2.jpg - 80 - 157.55.39.105 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 77893 293 296
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2018-09-18 21:26:59
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2018-09-18 21:26:59 W3SVC1536 JASMINE 143.95.251.7 GET /robots.txt - 80 - 93.158.166.140 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - lighthallbadminton.co.uk.jasmine.arvixe.com 404 0 2 1405 226 296
2018-09-18 21:27:02 W3SVC1536 JASMINE 143.95.251.7 GET /index.html - 80 - 93.158.161.31 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2739 257 171
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2018-09-18 22:11:21
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2018-09-18 22:11:21 W3SVC1536 JASMINE 143.95.251.7 GET /index.html - 80 - 94.173.131.175 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/68.0.3440.106+Safari/537.36 http://www.lighthallbadminton.co.uk/ lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2739 481 234
2018-09-18 22:11:22 W3SVC1536 JASMINE 143.95.251.7 GET /style.css - 80 - 94.173.131.175 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/68.0.3440.106+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/index.html lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 754 408 140
2018-09-18 22:11:22 W3SVC1536 JASMINE 143.95.251.7 GET /Images/Facebook.png - 80 - 94.173.131.175 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/68.0.3440.106+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/index.html lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2400 439 171
2018-09-18 22:11:22 W3SVC1536 JASMINE 143.95.251.7 GET /Images/badminton_photo2.jpg - 80 - 94.173.131.175 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/68.0.3440.106+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/index.html lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 77893 447 562
