#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2021-04-28 10:07:34
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2021-04-28 10:07:34 W3SVC1536 JASMINE 143.95.251.7 GET /index.html - 80 - 40.77.167.13 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - lighthallbadminton.co.uk.jasmine.arvixe.com 304 0 0 164 393 187
2021-04-28 15:14:07 W3SVC1536 JASMINE 143.95.251.7 GET /Images/Facebook.png - 80 - 134.151.16.82 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/index.html lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2400 433 124
2021-04-28 15:14:07 W3SVC1536 JASMINE 143.95.251.7 GET /style.css - 80 - 134.151.16.82 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/index.html lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 754 413 156
2021-04-28 15:14:07 W3SVC1536 JASMINE 143.95.251.7 GET /Images/badminton_photo2.jpg - 80 - 134.151.16.82 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/index.html lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 77893 441 453
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2021-04-28 19:41:53
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2021-04-28 19:41:53 W3SVC1536 JASMINE 143.95.251.7 GET /index.html - 80 - 92.237.233.201 Mozilla/5.0+(Linux;+Android+11;+Pixel+3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/90.0.4430.82+Mobile+Safari/537.36 http://www.lighthallbadminton.co.uk/ lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2823 572 312
2021-04-28 19:41:53 W3SVC1536 JASMINE 143.95.251.7 GET /style.css - 80 - 92.237.233.201 Mozilla/5.0+(Linux;+Android+11;+Pixel+3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/90.0.4430.82+Mobile+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/index.html lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 754 449 187
2021-04-28 19:41:53 W3SVC1536 JASMINE 143.95.251.7 GET /Images/Facebook.png - 80 - 92.237.233.201 Mozilla/5.0+(Linux;+Android+11;+Pixel+3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/90.0.4430.82+Mobile+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/index.html lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2400 505 156
2021-04-28 19:41:54 W3SVC1536 JASMINE 143.95.251.7 GET /Images/badminton_photo2.jpg - 80 - 92.237.233.201 Mozilla/5.0+(Linux;+Android+11;+Pixel+3)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/90.0.4430.82+Mobile+Safari/537.36 http://lighthallbadminton.co.uk.jasmine.arvixe.com/index.html lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 77893 513 593
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2021-04-28 22:57:34
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2021-04-28 22:57:33 W3SVC1536 JASMINE 143.95.251.7 GET / - 80 - 23.96.100.135 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/88.0.4240.193+Safari/537.36 - lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2661 345 671
2021-04-28 22:57:33 W3SVC1536 JASMINE 143.95.251.7 GET / - 80 - 23.96.100.135 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/88.0.4240.193+Safari/537.36 - lighthallbadminton.co.uk.jasmine.arvixe.com 200 0 0 2661 347 78
2021-04-28 22:57:33 W3SVC1536 JASMINE 143.95.251.7 GET /wp-includes/wlwmanifest.xml - 80 - 23.96.100.135 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/88.0.4240.193+Safari/537.36 - lighthallbadminton.co.uk.jasmine.arvixe.com 404 0 2 1405 374 62
2021-04-28 22:57:33 W3SVC1536 JASMINE 143.95.251.7 GET /xmlrpc.php rsd 80 - 23.96.100.135 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/88.0.4240.193+Safari/537.36 - lighthallbadminton.co.uk.jasmine.arvixe.com 404 0 2 1405 361 78
